PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0007317399 uM,Activity at 0.00164 uM,Activity at 0.00366 uM,Activity at 0.00370 uM,Activity at 0.00818 uM,Activity at 0.018 uM,Activity at 0.041 uM,Activity at 0.091 uM,Activity at 0.092 uM,Activity at 0.204 uM,Activity at 0.457 uM,Activity at 1.022 uM,Activity at 2.286 uM,Activity at 5.111 uM,Activity at 11.43 uM,Activity at 25.56 uM,Activity at 57.14 uM,Compound QC
1552,11112269,6604223,C[C@]12C[C@@H]([C@@]3([C@@H]([C@H]1C[C@H]([C@@]2(C(=O)CO)O)O)CCC4=CC(=O)C=C[C@@]43C)F)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-2.5046,-5.8884,-5.0372,-4.9933,,0.7431,-1.2976,-2.6608,9.2973,,-7.5038,6.9487,-6.0502,-1.024,0.8089,2.7038,-2.5046,,QC'd by Prestwick
1553,17388976,24846,[NH3+]O.[NH3+]O.[O-]S(=O)(=O)[O-],Inactive,0,,,Inactive,,,,,,,,,,4,,-9.3587,-19.6619,0.945,-13.7449,,-5.0566,-0.8315,-5.3671,-2.0644,,0.6477,-1.7491,1.0091,-2.5633,4.3268,-6.633,-7.2451,-9.3587,QC'd by NIEHS/NTP
1554,4253655,3246419,CC1(O[C@@H]2CCCCC[C@@H]2O1)CC(=O)O.C1=CC=C(C=C1)CN,Inconclusive,26,,,Inhibitor,0.2512,49.739,,Complete curve; partial efficacy,-6.6,0.6,0.9,-53.3401,-3.6011,-1.2,0 0 0 0 0 0 0,-47.9283,-7.5034,,-6.6974,,,-4.6676,,-30.6782,,,-26.4419,,-43.8308,,-47.9283,,,QC'd by NCI
1555,26752491,16758942,CCOC(=O)OCC1C(C=CC(O1)C2=CC=CC=C2)OC3=C(C=C(C=C3)F)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-28.8828,4.3915,,9.8681,,,,,11.4074,,,7.2096,,-5.5369,,-28.8828,,,QC'd by BUCMLD
1556,11114243,9604993,COC1=CC=CC(=C1)C=NC=NC2=CC(=CC=C2)OC,Active,41,,,Inhibitor,19.9526,67.6683,,Partial curve; partial efficacy,-4.7,1.331,0.8135,-75.0006,-7.3323,-2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-68.6107,3.7263,-12.6962,-12.962,,-6.3415,-16.3125,-20.4882,4.712,,-5.9915,-0.4718,-17.7576,-9.1237,-26.8749,-19.6467,-46.8759,-68.6107,QC'd by Tocris
1557,4253263,3003797,C1=CC2=C(C=C1NC(=S)NC3=CC4=C(C=C3)C=NN4)NN=C2,Active,45,,,Inhibitor,2.5119,71.545,,Partial curve; high efficacy,-5.6,1.331,0.9462,-90.3181,-18.7731,-2.1,0 0 0 0 0 0 0,-80.3661,-19.3455,,-11.5786,,,-29.8283,,-16.231,,,-22.8575,,-55.6205,,-80.3661,,,QC'd by NCI
1558,17384996,5459441,CCC1=C2COCC2=NC3=C1C=C(C=C3)OC,Active,41,,,Inhibitor,15.8489,82.2573,,Partial curve; partial efficacy,-4.8,1.7137,0.9837,-86.7433,-4.4859,-2.2,0 0 0 0 0 0 0,-78.941,,,-8.5417,,,-3.4948,,-4.2041,,,0.9183,,-12.528,,-32.8326,,-78.941,QC'd by UPCMLD
1559,26753734,5315615,C1=CC(=C(C=C1CC(C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-20.9419,-0.026,-2.1306,0.4066,,-1.8882,-1.1119,6.5551,1.8726,,4.6961,2.4002,-1.4597,-7.4061,-5.006,-0.9012,-14.2195,-20.9419,QC'd by Timtec
1560,26750732,16758245,C[C@@H](C1=CN(N=N1)[C@@H]2COC[C@@H]2O)ON=C(C)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-6.3763,2.2586,,-6.5532,,,-6.2094,,-4.0568,,,-2.8553,,-0.4299,,-6.3763,,,QC'd by BUCMLD
1561,4239956,3235063,COC1=CC=C(C=C1)C2=NC3=CN=C(N=C3N(C2=O)C4=CC=CC=C4)N5CCOCC5,Inactive,0,,,Inactive,,,,,,,,,,4,,-4.1545,,,10.2455,,,10.4736,,8.1617,,,6.2023,,7.2081,,4.0338,,-4.1545,QC'd by Pharmacopeia
1562,26749753,16758087,C[C@@]12CCC3[C@@]4(C(CC([C@]3(C15C(O5)C(=O)OC2C6=COC=C6)C)O)C(C(=O)[C@H]7C4O7)(C)C)C,Active,66,,,Inhibitor,1,61.907,,Complete curve; partial efficacy,-6,1.2221,0.9914,-75.8661,-13.9591,-1.2,0 0 0 0 0 0 0,-75.8849,,,-18.432,,,-11.246,,-14.7489,,,-32.6915,,-59.4714,,-71.4135,,-75.8849,QC'd by Microsource
1563,26748477,54713171,CN(C)C1C2C(C3C(=C)C4=C(C(=CC=C4)O)C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,-8.3551,,,-4.9382,,,-7.8805,,-2.7316,,,-4.679,,1.1465,,11.9273,,-8.3551,QC'd by Microsource
1564,4238845,3233953,C1C[C@@]2(CCN(C2)C3=CC=CC=C3)CN(C1)C(=O)OC4=CC=CC=C4,Active,42,,,Inhibitor,12.5893,89.6789,,Partial curve; high efficacy,-4.9,1.21,0.9587,-94.6753,-4.9964,-2.1,0 0 0 0 0 0 0,-82.0226,,,-16.3829,,,2.9416,,0.9464,,,-8.0379,,-15.634,,-47.8783,,-82.0226,QC'd by Pharmacopeia
1565,4253656,3246421,CCOC(=O)[C@H]1[C@@H](C[C@H]2[C@H]1C3=CC=CC=C3C4=CC=CC=C24)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-1.5163,-2.0786,,4.9987,,,-4.074,,3.4523,,,-7.2839,,-4.3334,,-1.5163,,,QC'd by NCI
1566,4237734,3232847,COC1=CC=C(C=C1)C(=O)N2CCC3(CCCN(C3)C(=O)NC4=CC=C(C=C4)OC)CC2,Active,42,,,Inhibitor,12.5893,90.5276,,Partial curve; partial efficacy,-4.9,0.9,0.9976,-93.2328,-2.7052,-2.2,0 0 0 0 0 0 0,-74.8796,,,-3.2162,,,-3.4769,,-1.1066,,,-7.199,,-20.5418,,-45.22,,-74.8796,QC'd by Pharmacopeia
1567,11112270,4909,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,Inactive,0,,,Inactive,,,,,,,,,,4,,-8.8291,-13.2727,-10.7468,-7.1789,,-1.9729,-0.8532,-1.1095,0.6484,,-4.5081,-3.5502,-9.0862,-2.6975,-7.1665,-4.6126,-8.8291,,QC'd by Prestwick
1568,26752490,16758941,CCOC(=O)OCC1C(C=CC(O1)C2=CC=CC=C2)OC3=CC4=C(C=C3)OC(=O)C=C4C,Inactive,0,,,Inactive,,,,,,,,,,4,,-10.6387,6.1476,,8.9734,,,3.3304,,22.2077,,,9.7731,,13.1986,,-10.6387,,,QC'd by BUCMLD
1569,4253264,15140,C1=CC(=CC=C1N=C(N)NC#N)Cl,Inactive,0,,,Activator,,,,,,,,,,5,,-49.7347,-41.3247,,-47.508,,,-44.8782,,-43.8613,,,-42.5895,,-40.7262,,-49.7347,,,QC'd by NCI
1570,11114244,72172,CC(C)C[C@@H](C(=O)O)NC(=O)[C@H]([C@@H](CC1=CC=CC=C1)N)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-14.6314,3.5641,0.575,-0.7693,,-1.3973,2.3528,1.28,5.245,,-3.7897,-10.1249,-6.7989,-12.4426,-8.6655,-4.4281,-9.2095,-14.6314,QC'd by Tocris
1571,17384997,1211370,C1=CC=C(C=C1)C#CC2=CC=CC=C2N,Inconclusive,21,,,Inhibitor,15.8489,61.8421,,Partial curve; partial efficacy,-4.8,1.5579,0.9823,-61.374,0.4681,-2.2,0 0 0 0 0 0 0,-56.1982,,,-0.7418,,,-0.3957,,2.3127,,,4.44,,-6.703,,-21.0846,,-56.1982,QC'd by UPCMLD
1572,26750731,6518392,CC(=NOC[C@H](COCC1=CC=CO1)O)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-14.6696,1.2113,,2.197,,,-2.6948,,-13.0177,,,-0.4032,,-7.7836,,-14.6696,,,QC'd by BUCMLD
1573,4239955,3235062,CN1C=C(C2=CC=CC=C21)C3=NC4=CN=C(N=C4N(C3=O)CCOC)N5CCNCC5,Active,41,,,Inhibitor,25.1189,114.97,,Partial curve; high efficacy,-4.6,1.6259,0.981,-117.458,-2.4878,-2.1,0 0 0 0 0 0 0,-93.3085,,,1.5693,,,-11.5338,,1.4074,,,1.4775,,-6.5757,,-28.2827,,-93.3085,QC'd by Pharmacopeia
1574,26749752,16758086,CC1=C2CC=C3[C@](C2=CC(=C1OC(=O)C)OC(=O)C)(CC[C@@]4([C@]3(CC[C@]5(C4C[C@](CC5)(C)C(=O)O)C)C)C)C,Inconclusive,20,,,Inhibitor,31.6228,50.8062,,Partial curve; partial efficacy,-4.5,1.5095,0.9616,-65.0696,-14.2634,-2.2,0 0 0 0 0 0 0,-50.7659,,,-17.363,,,-13.5859,,-9.2608,,,-14.3266,,-18.1603,,-23.0961,,-50.7659,QC'd by Microsource
1575,26747481,11548,CC(C[N+](C)(C)C)OC(=O)N.[Cl-],Inactive,0,,,Inactive,,,,,,,,,,4,,-3.3363,,,-8.4592,,,-7.0281,,-4.0338,,,-0.7648,,-4.1129,,26.1273,,-3.3363,QC'd by Microsource
1576,4238844,3233952,C1COCCN1CCNC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4C(F)(F)F,Active,43,,,Inhibitor,7.9433,99.7843,,Partial curve; high efficacy,-5.1,1,0.9961,-103.713,-3.9286,-2.1,0 0 0 0 0 0 0,-91.8937,,,-2.4902,,,-7.588,,-5.5105,,,-6.5998,,-28.4614,,-61.72,,-91.8937,QC'd by Pharmacopeia
1577,17388977,91649,CC(C)(C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F)O,Inconclusive,20,,,Inhibitor,25.1189,50.9491,,Partial curve; partial efficacy,-4.6,1.5095,0.9295,-51.065,-0.1159,-2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-39.9576,-4.4366,6.201,1.077,,2.5026,0.9555,1.4039,-3.4583,,-1.2965,-1.4749,-5.5083,-2.5298,0.3098,-15.4729,-24.6348,-39.9576,QC'd by NIEHS/NTP
1578,26752489,16758940,C1CCC(C1)C2=CC=C(C=C2)OC3C=CC(OC3CO)C4=CC5=C(C=C4)OCO5,Inconclusive,24,,,Inhibitor,1.9953,56.2634,,Partial curve; partial efficacy,-5.7,0.7,0.9372,-62.286,-6.0226,-2.2,0 0 0 0 0 0 0,-50.6816,-11.715,,-3.6654,,,-1.3222,,-16.2488,,,-21.7311,,-32.7986,,-50.6816,,,QC'd by BUCMLD
1579,11110955,6603779,C[C@@H](C[N+](C)(C)C)OC(=O)N,Inactive,0,,,Inactive,,,,,,,,,,4,,-4.8701,,,-7.9378,,,-7.0975,,-2.5673,,,-6.3752,,-4.1937,,-1.3536,,-4.8701,QC'd by SigmaAldrich
1580,11112267,8480,C1=CC(=CC=C1NC(=O)N)[As](=O)(O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-3.2107,-4.8272,-8.8729,-3.4424,,-4.3685,-1.987,-0.3573,-1.7781,,0.2489,-1.4968,-5.9905,-1.2,-4.0978,-5.9514,-3.2107,,QC'd by Prestwick
1581,17388974,795,C1=CN=CN1,Inactive,0,,,Inactive,,,,,,,,,,4,,-24.9082,2.5316,-10.0714,4.9598,,3.9752,-4.6971,4.0395,2.7251,,6.5705,-3.4479,1.8655,-0.6342,0.0513,-12.3309,-12.916,-24.9082,QC'd by NIEHS/NTP
1582,4253657,3246422,CN1C(=O)C2=C(N=C1N)N(C(=N2)OCC3=CC=CC=C3)[C@H]4[C@H]([C@@H]([C@H](O4)CO)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-4.8425,-5.8528,,-0.8132,,,-0.8831,,-0.702,,,-0.0431,,-2.1943,,-4.8425,,,QC'd by NCI
1583,4237737,3232850,CN(C)CC1=CC=CC=C1C2=NC3=CC=CC=C3C(=N2)N(C)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-27.9547,,,-5.0087,,,-9.3222,,-1.7769,,,-13.4259,,-8.3701,,-9.5268,,-27.9547,QC'd by Pharmacopeia
1584,26750730,16758244,CC(=NO[C@H]1C=C[C@H](O[C@H]1CO)CC=C)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-13.3638,-6.9124,,-0.54,,,-8.3618,,-3.8557,,,-1.2036,,-0.9833,,-13.3638,,,QC'd by BUCMLD
1585,17384994,5459415,CCC1=C2C=CC=C(C2=NC3=C1CN4C3=CC=CC4=O)C(C)C,Active,41,,,Inhibitor,15.8489,61.1325,,Partial curve; partial efficacy,-4.8,1.8851,0.9795,-70.2388,-9.1063,-2.2,0 0 0 0 0 0 0,-66.313,,,-11.5488,,,-4.0682,,-12.194,,,-9.2544,,-11.9135,,-26.9482,,-66.313,QC'd by UPCMLD
1586,11114241,6604920,CS(=O)(=O)C1=CC=C(C=C1)CN2C3=C(CCC[C@H]3CC(=O)O)C4=C2C(=CC(=C4)F)F,Active,40,,,Inhibitor,39.8107,67.2766,,Partial curve; partial efficacy,-4.4,3.5117,0.945,-83.2343,-15.9577,-2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-69.3619,-16.2791,-16.8266,-16.8124,,-20.3662,-21.1544,-18.8888,-18.1652,,-8.2013,-17.2659,-15.3832,-11.3246,-13.3526,-18.1569,-28.8349,-69.3619,QC'd by Tocris
1587,4253265,252485,C1CNCCC1CNCCN,Inactive,0,,,Inactive,,,,,,,,,,4,,-29.396,-18.3123,,-11.7853,,,-21.9499,,-14.7603,,,-5.364,,-1.2703,,-29.396,,,QC'd by NCI
1588,4239958,3235065,CNC1=NC(=NC2=CC=CC=C21)C3=CC=CC=C3OC,Inconclusive,20,,,Inhibitor,31.6228,53.2987,,Partial curve; partial efficacy,-4.5,1.3723,0.9405,-65.1964,-11.8977,-2.2,0 0 0 0 0 0 0,-50.8027,,,-10.5546,,,-8.4704,,-10.0091,,,-12.54,,-20.7039,,-20.8756,,-50.8027,QC'd by Pharmacopeia
1589,11114240,770820,CC1=CC(=C(C(=C1)C)S(=O)(=O)NC2=CC=CC=C2C(F)(F)F)C,Active,64,,,Inhibitor,2.5119,65.8523,,Complete curve; partial efficacy,-5.6,0.9,0.9887,-71.4443,-5.5921,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-69.537,-6.1847,-8.7623,-4.6712,,-7.5701,-7.0609,-5.8853,-5.137,,-11.5931,-16.3618,-26.1964,-42.5154,-49.3899,-57.7229,-59.168,-69.537,QC'd by Tocris
1590,26749751,5271544,COC1=CC=C(C=C1)C2CC(=O)C3=C(O2)C=C(C=C3)OC,Inconclusive,20,,,Inhibitor,19.9526,26.4997,,Partial curve; partial efficacy,-4.7,1.9673,0.9899,-33.3678,-6.8681,-2.2,1 0 0 0 0 0 0,-30.3065,,,-13.5104,,,-6.7254,,-8.1803,,,-6.4864,,-5.7234,,-14.1224,,-30.3065,QC'd by Microsource
1591,4238847,3233955,CC1=NC2=CN=C(N=C2N(C1=O)C[C@H]3CCCO3)N4CCOCC4,Inactive,0,,,Inactive,,,,,,,,,,4,,-19.8553,,,0.3131,,,3.1078,,3.1259,,,0.5941,,-3.3371,,-5.2332,,-19.8553,QC'd by Pharmacopeia
1592,26748475,5702162,CC(C1=CC=CC=C1)NCCC(C2=CC=CC=C2)C3=CC=CC=C3.Cl,Active,40,,,Inhibitor,25.1189,77.292,,Partial curve; partial efficacy,-4.6,1.6259,0.9846,-86.7648,-9.4727,-2.2,0 0 0 0 0 0 0,-71.0337,,,-10.8248,,,-5.7903,,-7.8798,,,-9.3176,,-16.1449,,-24.136,,-71.0337,QC'd by Microsource
1593,11112268,5323,COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC,Inactive,0,,,Inactive,,,,,,,,,,4,,-19.8049,-7.6999,-5.9042,-5.0562,,-1.6457,-5.9428,-10.63,,,-5.611,-10.4384,-9.2234,-9.9754,-9.997,-16.2182,-19.8049,,QC'd by Prestwick
1594,11110954,6603778,C1=NC2=C(N=C(N=C2N1[C@H]3[C@@H]([C@@H]([C@@H](O3)CO)O)O)Cl)N,Inactive,0,,,Inactive,,,,,,,,,,4,,3.9148,,,2.931,,,2.745,,-1.168,,,2.5768,,2.73,,-1.0955,,3.9148,QC'd by SigmaAldrich
1595,4237736,3232849,COC1=CC=C(C=C1)OC2=NC=C3C(=N2)N(C(=O)C(=N3)CCC4=CC=CC=C4)C5CC5,Inconclusive,22,,,Inhibitor,5.0119,46.8518,,Complete curve; partial efficacy,-5.3,2.0937,0.92,-48.398,-1.5461,-1.2,0 0 0 0 0 0 0,-49.1393,,,-6.587,,,-5.6087,,11.3221,,,-4.2317,,-10.9954,,-39.6845,,-49.1393,QC'd by Pharmacopeia
1596,17388975,6537505,C[C@@H]1CC[C@H](C2=C(C[C@H]([C@H]12)O)C)/C=C(\C)/C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-6.7635,-5.2656,0.1913,-9.5322,,-4.4498,-5.9217,-4.2549,-12.4634,,-0.3478,-9.2443,12.2877,8.1099,-9.956,-8.9663,-9.1411,-6.7635,QC'd by NIEHS/NTP
1597,26750729,16758243,CC(=NOC[C@H]([C@H]1[C@@H]([C@@H]2[C@H](O1)OC(O2)(C)C)O)O)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-14.2853,-7.5052,,-8.0061,,,-9.5333,,-4.0649,,,-11.0807,,-7.9953,,-14.2853,,,QC'd by BUCMLD
1598,4253658,419920,C1=CC=C(C=C1)C2=C(C(=C3C(=C2C4=CC=CC=C4)C(=O)OC35C6=C(C=C(C=C6)O)OC7=C5C=CC(=C7)O)C8=CC=CC=C8)C9=CC=CC=C9,Inactive,0,,,Inactive,,,,,,,,,,4,,-24.8589,27.3689,,2.2933,,,17.1454,,21.6105,,,25.1725,,15.3264,,-24.8589,,,QC'd by NCI
1599,17384995,5459438,CC(C)C1=CC=CC2=CC3=C(C4=CC=CC(=O)N4C3)N=C21,Active,41,,,Inhibitor,15.8489,84.6305,,Partial curve; high efficacy,-4.8,1.9887,0.9793,-84.949,-0.3185,-2.1,0 0 0 0 0 0 0,-81.814,,,0.6711,,,1.7445,,-7.7342,,,6.3711,,-3.4305,,-31.6381,,-81.814,QC'd by UPCMLD
1600,26752488,16758939,CCOC(=O)OCC1C(C=CC(O1)C2=CC=CC=C2)OC3=CC=CC(=C3)N(C)C,Inconclusive,20,,,Inhibitor,3.1623,58.3625,,Single point of activity,-5.5,2.9023,0.9462,-51.3625,7,-3,0 0 0 0 0 0 0,-50.1046,-1.8926,,15.1563,,,6.9851,,9.1531,,,4.6467,,-8.6853,,-50.1046,,,QC'd by BUCMLD
1601,11114242,9604992,C1=CC(=CC(=C1)Cl)C=NC=NC2=CC(=CC=C2)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,-25.5302,5.6735,-2.3184,0.2479,,-2.7435,1.8208,-0.342,1.1288,,4.2133,0.9043,-6.9074,-3.0394,-1.9687,-2.2619,-15.5019,-25.5302,QC'd by Tocris
1602,26747479,5941,C(CSSCCN)N.Cl.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,-9.9281,,,-9.2891,,,-4.255,,-0.581,,,-1.1197,,4.0516,,7.5382,,-9.9281,QC'd by Microsource
1603,4253266,5351878,C1=CC=C(C=C1)C(=O)NC2=C3C(=C(C=C2)NC4=CC5=C(C=C4)C(=O)C6=CC=CC=C6C5=O)C(=O)C7=CC=CC=C7C3=O,Inactive,0,,,Inactive,,,,,,,,,,4,,-7.9782,-6.4806,,-14.3376,,,-12.9741,,-27.9449,,,-17.1287,,-19.5753,,-7.9782,,,QC'd by NCI
1604,4239957,3235064,C1CC2(CCN(CC2)C(=O)C3=CSN=N3)CN(C1)C4=CC=CC(=C4)C5=CC=CC=C5,Active,44,,,Inhibitor,5.0119,96.6852,,Partial curve; high efficacy,-5.3,1.2876,0.9972,-92.9377,3.7474,-2.1,0 0 0 0 0 0 0,-89.3295,,,5.6106,,,4.1734,,5.7217,,,-4.0066,,-23.5068,,-69.0051,,-89.3295,QC'd by Pharmacopeia
1605,26749750,2723597,C1=CC=C(C=C1)C(=O)CN.Cl,Inconclusive,22,,,Inhibitor,6.3096,45.4621,,Partial curve; partial efficacy,-5.2,1,0.9865,-52.5508,-7.0888,-2.2,0 0 0 0 0 0 0,-47.0589,,,-6.2572,,,-11.2162,,-7.2366,,,-8.5471,,-19.0299,,-35.8968,,-47.0589,QC'd by Microsource
1606,4238846,3233954,C1CNCCC12CN(C2)CC3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,Inactive,0,,,Inactive,,,,,,,,,,4,,-20.6147,,,-3.7412,,,3.7112,,0.1802,,,-5.15,,-0.6006,,-1.5857,,-20.6147,QC'd by Pharmacopeia
1607,26748473,16757769,CN1CCC2=CC(=C(C3=C2C1CC4=CC(=CC=C4)OC5=CC(=C(CC6C7=CC(=C(C=C7CCN6C)OC)O3)C=C5)O)OC)OC.Cl.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,-6.2689,,,-13.3682,,,-6.4005,,0.0215,,,0.9241,,-1.0275,,8.0922,,-6.2689,QC'd by Microsource
1608,26747486,2812,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,Active,94,,,Inhibitor,0.0316,79.5098,,Complete curve; high efficacy,-7.5,2.5884,0.9984,-93.9362,-14.4264,-1.1,0 0 0 0 0 0 0,-94.663,,,-13.6001,,,-31.4948,,-90.5511,,,-94.2704,,-94.3991,,-91.6917,,-94.663,QC'd by Microsource
1609,4239968,3235075,COC1=CC2=C(C=C1)NC=C2CCNC3=NC=NC=C3C4=CC=CC=C4C(F)(F)F,Active,89,,,Inhibitor,0.2512,78.5357,,Complete curve; high efficacy,-6.6,1.4641,0.9737,-85.6623,-7.1266,-1.1,0 0 0 0 0 0 0,-85.3549,,,-0.0828,,,-20.4785,,-16.4689,,,-63.3479,,-83.1368,,-85.1185,,-85.3549,QC'd by Pharmacopeia
1610,4238833,3233941,COCC(=O)N1CCC[C@]2(C1)CCN(C2)CC3=CC=CC=C3OC,Inactive,0,,,Inactive,,,,,,,,,,4,,-19.3898,,,-2.6048,,,-3.9023,,-0.6139,,,-3.4785,,-5.5977,,-6.3685,,-19.3898,QC'd by Pharmacopeia
1611,26750744,6419589,C[C@H]1COC(=O)[C@@H](NC(=O)[C@H](COC(=O)[C@@H](NC1=O)C)C)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-18.2617,-8.6359,,-2.6709,,,-7.5597,,-6.2844,,,-1.7736,,-4.6613,,-18.2617,,,QC'd by BUCMLD
1612,11114238,438981,C1=CC2=NC3=C(NN=C3N=C2C=C1)N,Inconclusive,20,,,Inhibitor,0.1259,19.7135,,Complete curve; partial efficacy; poor fit,-6.9,1.8265,0.689,-21.2135,-1.5,-1.4,0 0 0 0 0 0 0 0 1 0 0 0 0 0 0,-34.7613,0.2814,0.7368,-13.4287,,5.1592,-2.3372,-3.3216,-8.3504,,-16.045,3.9139,-17.1679,-24.0324,-21.256,-14.4932,-14.2429,-34.7613,QC'd by Tocris
1613,11112281,6604228,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@]1(CC[C@H]3[C@H]2[C@H](C[C@@H]4[C@]3(CC[C@@H](C4)O)C)O)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-3.161,-6.3661,-7.728,-4.2555,,-1.4589,-3.7559,-3.4737,7.9128,,0.407,0.0381,0.4074,-0.6174,-1.1134,-1.9845,-3.161,,QC'd by Prestwick
1614,17388988,3485,C(CC=O)CC=O,Inactive,0,,,Inactive,,,,,,,,,,4,,-19.636,-23.6977,-42.9889,-24.1619,,-10.7761,-16.7237,-17.7208,-21.8072,,-10.0684,-12.6494,-18.6266,-17.484,-2.59,-15.8721,-19.9317,-19.636,QC'd by NIEHS/NTP
1615,26752487,16758938,CC(=O)C1=C(C=CC(=C1)OC)OC2C=CC(OC2CO)C3=CC=CC=C3,Inconclusive,23,,,Inhibitor,3.9811,60.1046,,Partial curve; partial efficacy,-5.4,1.331,0.9554,-69.1373,-9.0327,-2.2,0 0 0 0 0 0 0,-57.6766,-5.4936,,-10.9067,,,-15.3401,,-3.4227,,,-13.545,,-27.6798,,-57.6766,,,QC'd by BUCMLD
1616,26749741,6857785,CC(=CCCC1(C=CC2=C(O1)C(=C3C(=C2OC)C(=O)C4=CC5CC6C4(O3)C(C5=O)(OC6(C)C)C/C=C(/C)\C(=O)OC)CC=C(C)C)C)C,Active,64,,,Inhibitor,3.1623,78.1913,,Complete curve; partial efficacy,-5.5,1.1,0.9937,-71.1913,7,-1.2,0 0 0 0 0 0 0,-69.2748,,,1.9533,,,9.495,,6.789,,,-2.0312,,-23.8099,,-55.6387,,-69.2748,QC'd by Microsource
1617,4239969,3235076,CN1CCN(CC1)C2=NC(=NC=C2)C3=CC=CC=C3C(F)(F)F,Inconclusive,22,,,Inhibitor,6.3096,39.545,,Partial curve; partial efficacy,-5.2,0.4,0.9066,-43.9817,-4.4367,-2.2,0 0 0 0 0 0 0,-34.1514,,,-6.6139,,,-7.3132,,-7.3244,,,-20.4138,,-19.7628,,-22.9378,,-34.1514,QC'd by Pharmacopeia
1618,4253651,273497,CC(C)OC1=CC(=C2C(=CCOC2=C1)CCC(=O)O)O,Inconclusive,22,,,Inhibitor,3.1623,38.5969,,Partial curve; partial efficacy,-5.5,2.3332,0.9802,-40.1006,-1.5038,-2.2,0 0 0 0 0 0 0,-38.4172,-2.1731,,-0.2385,,,1.6204,,-4.9263,,,-1.9446,,-13.5995,,-38.4172,,,QC'd by NCI
1619,4253251,3246279,C[C@H](CCC(=O)NN)[C@@H]1CC[C@H]2[C@]1(CC[C@@H]3[C@@H]2CC[C@@H]4[C@]3(CC[C@@H](C4)O)C)C,Active,88,,,Inhibitor,0.631,91.8217,,Complete curve; high efficacy,-6.2,1.21,0.9928,-92.938,-1.1162,-1.1,0 0 0 0 0 0 0,-84.4348,-2.9938,,1.7277,,,-3.5844,,-10.6932,,,-36.2297,,-79.2128,,-84.4348,,,QC'd by NCI
1620,17385008,5461359,CCCC[C@H]1C[C@@H]1[C@@H](C2(CC2)CC(=C)C3=CC=CC=C3)NP(=O)(C4=CC=CC=C4)C5=CC=CC=C5,Active,86,,,Inhibitor,1.5849,72.4343,,Complete curve; high efficacy,-5.8,1.7885,0.9974,-89.3829,-16.9485,-1.1,0 0 0 0 0 0 0,-90.7681,,,-16.1394,,,-15.574,,-20.7845,,,-23.4619,,-64.2898,,-86.3211,,-90.7681,QC'd by UPCMLD
