PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Direction,Activity Qualifier,Qualified AC50,Log of AC50,Hill Coefficient,Curve R2,Data Type,Compound Type,Compound QC,Data Analysis QC,NCGC Comment,Curve Fit Model,Hill S0,Hill Sinf,Hill dS,Log AC50 Std Error,Curve Chi2f,Excluded Points,Number of Points,Activity at 0.732nM,Activity at 1.636nM,Activity at 3.658nM,Activity at 8.18nM,Activity at 18.291nM,Activity at 0.041uM,Activity at 0.091uM,Activity at 0.204uM,Activity at 0.457uM,Activity at 1.022uM,Activity at 2.286uM,Activity at 5.111uM,Activity at 11.429uM,Activity at 25.556uM,Activity at 0.057mM
2035,4239026,3234133,C1CC2(CCN(CC2)C(=O)C3=CC(=CC=C3)F)CN(C1)C(=O)NC4=CC=CC=C4,Active,4,,,decreasing,=,1.58e-05,-4.8,1.1,0.97,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-4.8,-86.9,82.1,,,0 0 0 0 0 0,,,,,,-7.4,,-7.7,,0.8,,-18.7,,-34.9,,-72.4
2036,11111719,4289,C1=CC(=CC=C1C(=O)NCCN)Cl,Active,4,,,decreasing,=,1.26e-05,-4.9,1.1,0.97,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-2.2,-83.9,81.7,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,-4,-3.7,0.7,-3.5,-0.5,-12.8,3.7,4.5,-6,-3.7,-16.5,-26.5,-39.5,-56.4,-72.4
2037,11114029,119376,CN1C=C(C2=CC=CC=C21)C(=O)OCC3CCN(CC3)CCNS(=O)(=O)C,Active,4,,,decreasing,=,1.58e-05,-4.8,0.8,0.95,qHTS Primary,qHTS ECL - Tocris,,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-2.6,-90.7,88.1,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,-0.9,-13.6,-4.3,-4,3.4,1,2.1,-5.8,-2.8,-17.8,-18.8,-32.9,-35.6,-52,-72.4
2038,4238817,3233925,C1=CC=C(C=C1)COC2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CC=CS4)CCC#N,Active,34,,,decreasing,=,3.98e-06,-5.4,1.64,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Modulator,"4pHill (AC50, hillSlope, S0, Sinf)",1.7,-72.3,74,,,0 0 0 0 0 0,,,,0.8,,,,0.9,,1,,-19.3,,-60.1,,-72.3
2039,4266522,3247178,CN(C)C(=O)C1=CC2=C(N1CC3=NC4=CC=CC=C4N3)C[C@@H]5[C@H]2[C@](N(C5)C(=O)C6=CC=CC=C6)(CC7=CC=C(C=C7)F)C(=O)OC,Active,4,,,decreasing,=,1.58e-05,-4.8,1.51,0.98,qHTS Primary,qHTS ECL - UPCMLD,QC'd byUPCMLD,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-1.1,-79.1,78,,,0 0 0 0 0 0,,,,3.7,,,,-2.7,,1,,-12,,-28,,-72.3
2040,4239351,3234458,CCNC1=NC=C2C(=N1)N(C(=O)C(=N2)CCC3=CC=CC=C3)C4CC4,Active,35,,,decreasing,=,3.16e-06,-5.5,1.1,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Modulator,"4pHill (AC50, hillSlope, S0, Sinf)",5.2,-74.9,80,,,0 0 0 0 0 0,,,,4.3,,,,3.3,,-0.3,,-31.3,,-56.6,,-72.2
2041,4239793,3234900,C1CC2(CCN(CC2)C(=O)OC3=CC=CC=C3)CN(C1)C4=CC=NC=C4,Active,4,,,decreasing,=,1.26e-05,-4.9,1.48,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-5.4,-78.8,73.3,,,0 0 0 0 0 0,,,,,,-5.2,,-7.8,,-3.4,,-12.1,,-38.2,,-72.2
2042,4238822,3233930,CN(C)C1=NC=C2C(=N1)N(C(=O)C(=N2)C3=CC=C(C=C3)OC)CC4=CC=CS4,Active,38,,,decreasing,=,1.58e-06,-5.8,1.37,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Modulator,"4pHill (AC50, hillSlope, S0, Sinf)",-5.1,-73.1,68,,,0 0 0 0 0 0,,,,-7.5,,,,-2.6,,-16.8,,-47.6,,-69.2,,-72.1
2043,4238232,3233343,C1CNCCC12CN(C2)C3=CC=C(C=C3)C4=CC=CC=C4,Active,4,,,decreasing,=,1.58e-05,-4.8,1.89,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-4.9,-77.4,72.5,,,0 0 0 0 0 0,,,,,,-6.3,,-0.7,,-7.8,,-9.4,,-28.1,,-72.1
2044,4239946,3235053,CC1=CC=CC=C1C2=CC(=NC=N2)NCC3=NC=C(N=C3)C,Active,4,,,decreasing,=,1.26e-05,-4.9,1.25,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-2.7,-81.2,78.6,,,0 0 0 0 0 0 0,,,,-1.3,,-6.2,,-2.2,,-2.4,,-13.2,,-37.6,,-71.9
2045,11111849,5614,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C=C(C#N)C#N,Active,4,,,decreasing,=,1e-05,-5,1.22,0.99,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",3.9,-81.3,85.2,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,4.5,-1.7,2.5,3.7,7.7,5.2,9.6,-0.4,1.5,-4.6,-5.7,-24,-41.4,-60.9,-71.9
2046,4238426,3233536,CN1C=CC=C1C(=O)N2CCC3(CCCN(C3)C4=CC=C(C=C4)C5=CC=CC=C5)CC2,Active,4,,,decreasing,=,1.58e-05,-4.8,1.34,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-2.7,-82.4,79.7,,,0 0 0 0 0 0,,,,,,-2,,0.8,,-6.3,,-11.6,,-32.2,,-71.7
2047,4239076,3234183,CN1C=CC=C1C(=O)N2CCC[C@]3(C2)CCN(C3)C4=CC=CC(=C4)C5=CC=CC=C5,Active,4,,,decreasing,=,1.26e-05,-4.9,1.11,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-0.6,-84.5,83.9,,,0 0 0 0 0 0,,,,,,4.3,,-4.3,,-5,,-10.4,,-39.4,,-71.7
2048,11113893,3645619,CC1=CC(=CC=C1)C(=O)NCN2CCN(CC2)C3=CC=CC=C3C#N,Active,4,,,decreasing,=,2e-05,-4.7,1.21,0.93,qHTS Primary,qHTS ECL - Tocris,,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-7.7,-82.5,74.8,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,-5.7,-3.5,-0.4,-15,-6.2,-15.1,-10,-11.4,-17.3,-6.7,-14,-17.8,-36,-45.1,-71.7
2049,4240282,3235388,C1COCCN1C2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CC=CC=C4)C5=CC=CC=C5,Active,4,,,decreasing,=,1.26e-05,-4.9,0.7,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-6.1,-92.1,86,,,0 0 0 0 0 0,,,,-4.5,,,,-12.9,,-12.8,,-26.7,,-44.8,,-71.6
2050,4240009,3235116,COC1=CC=C(C=C1)OC2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CC=C(C=C4)Cl)CCC#N,Active,37,,,decreasing,=,2e-06,-5.7,1.21,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Modulator,"4pHill (AC50, hillSlope, S0, Sinf)",-0.2,-75.4,75.1,,,0 0 0 0 0 0,,,,-2.7,,,,0.7,,-11.2,,-40.3,,-67,,-71.5
2051,4237653,3232766,C1COCCN1C2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CC=C(C=C4)F)CC5=CC=CS5,Active,4,,,decreasing,=,1.26e-05,-4.9,1.01,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-3.2,-85.3,82.1,,,0 0 0 0 0 0,,,,-3.2,,,,-3.8,,-5.3,,-16.3,,-40.9,,-71.5
2052,4237743,3232856,CN1C(=O)C=NC2=CN=C(N=C21)OC,Active,4,,,decreasing,=,1.26e-05,-4.9,1.13,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",1.5,-82.1,83.6,,,0 0 0 0 0 0,,,,1.4,,,,3,,-2.2,,-12.1,,-33.4,,-71.5
2053,11114252,3503,CC1=CC2=C(C(=C(C(=C2C(C)C)O)O)C=O)C(=C1C3=C(C4=C(C=C3C)C(=C(C(=C4C=O)O)O)C(C)C)O)O,Inconclusive,2,,,decreasing,=,3.98e-05,-4.4,4.5,0.76,qHTS Primary,qHTS ECL - Tocris,,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-7.1,-81.7,74.6,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,-8.7,-17.4,-5.9,-6.1,9.7,5.4,6.5,-3.7,-25.2,-11.7,-3.5,-13.1,-17.4,-16.7,-71.5
2054,4238034,3233147,CN(C)CC1=CC=CC=C1C2=CN=CN=C2NCC3=C(C=C(C=C3)OC)OC,Active,4,,,decreasing,=,1.58e-05,-4.8,1.22,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-6.9,-82.3,75.4,,,0 0 0 0 0 0 0,,,,-3.4,,-4.2,,-9.4,,-9.3,,-16.1,,-37.5,,-71.4
2055,4237519,3232632,CN(C)C(=O)C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=N2)NCCC4=CNC5=C4C=C(C=C5)OC,Active,4,,,decreasing,=,1.58e-05,-4.8,1.1,0.94,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-4.4,-85.6,81.2,,,0 0 0 0 0 0 0,,,,-15.9,,2.8,,-2.4,,0,,-17.9,,-34.6,,-71.3
2056,4237878,3232991,COC1=CC=C(C=C1)N2C3=NC=NC=C3N=C(C2=O)C4=CC(=CC=C4)F,Active,4,,,decreasing,=,3.98e-06,-5.4,1,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",8.5,-74.2,82.7,,,0 0 0 0 0 0,,,,5.3,,,,7,,4.2,,-24.8,,-49,,-71.3
2057,4240262,3235368,CC(=O)NCCNC1=NC(=NC2=CC=CC=C21)C3=CC(=CC=C3)NS(=O)(=O)C,Active,4,,,decreasing,=,1.58e-05,-4.8,1.1,0.98,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-5.2,-85.5,80.3,,,0 0 0 0 0 0 0,,,,-4.5,,-0.6,,-9.7,,-7.8,,-16.2,,-35.1,,-71.3
2058,11113145,688162,CN1CCC2=CC(=C(C3=C2[C@H]1CC4=C3C(=C(C=C4)OC)O)OC)OC,Active,4,,,decreasing,=,1.58e-05,-4.8,1,0.88,qHTS Primary,qHTS ECL - Timtec,,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",7.5,-76.5,84,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,-6.1,1,8.6,2.5,19,14.8,16.3,4.6,4.2,-0.1,-8.2,-15.3,-22.2,-34.2,-71.3
2059,11111082,6603820,C1CC2=CC(=C(C=C2[C@@H]3[C@@H]1NCC4=CC=CC=C34)O)O,Active,29,,,decreasing,=,1.26e-05,-4.9,1.99,0.96,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Partial Modulator,"4pHill (AC50, hillSlope, S0, Sinf)",-0.3,-78.5,78.3,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,6.4,3.6,-8.2,-6.1,6.6,-2.1,0.8,3.1,-2.6,-3.1,-3.4,-14.9,-31,-68.9,-71.2
2060,4238472,3233582,CN1CCN(CC1)C2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CC(=CC(=C4)F)F)C5CC5,Active,4,,,decreasing,=,1.58e-05,-4.8,0.8,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",1.7,-93.1,94.8,,,0 0 0 0 0 0,,,,4.8,,,,-1.4,,-6.2,,-15.8,,-35.6,,-71.2
2061,11112037,6604118,CC[C@@H]([C@@H](C1=CC(=C(C=C1)O)O)O)NC(C)C.CS(=O)(=O)O,Active,4,,,decreasing,=,1.58e-05,-4.8,1,0.96,qHTS Primary,qHTS ECL - SigmaAldrich,,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-3.4,-81.8,78.4,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,-4.8,-6.2,-1.2,-4,0.4,2.4,-4.7,-3.9,-11.2,-10.9,-12.8,-20.2,-38.8,-44.6,-71.2
2062,4238655,3233764,CC(=O)NCCNC1=NC=NC2=C1C=C(C=C2)C3=CC(=CC=C3)NS(=O)(=O)C,Active,4,,,decreasing,=,1.58e-05,-4.8,1.25,0.98,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",3.9,-81.2,85.2,,,0 0 0 0 0 0 0,,,,10.2,,4.4,,1.2,,3.6,,-8,,-27.9,,-71.1
2063,4238987,3234094,CC1=NC2=CN=C(N=C2N(C1=O)CC3=CC=CS3)OC4=CC=C(C=C4)OC,Active,4,,,decreasing,=,1e-05,-5,1,0.96,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",0,-83.1,83.1,,,0 0 0 0 0 0,,,,-8.3,,,,3.2,,4.2,,-20.2,,-43.1,,-71.1
2064,4240469,3235574,CN(C)C1=NC=C2C(=N1)N(C(=O)C(=N2)C3=CC=CC=C3)CCC4=CC=CC=C4,Active,4,,,decreasing,=,2e-05,-4.7,1.1,0.93,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-5.7,-89.2,83.5,,,0 0 0 0 0 0,,,,6.2,,,,-8.2,,-15.8,,-14.3,,-32.7,,-71.1
2065,11114030,6604851,CCCCNC(=O)[C@@H]1CC2=CC=CC=C2N1C(=O)[C@@H](CC)N,Active,4,,,decreasing,=,2e-05,-4.7,1.1,0.93,qHTS Primary,qHTS ECL - Tocris,,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-7.4,-85.3,77.9,,,0 1 0 0 0 0 0 0 0 0 0 0 0 0 0,,2.8,-72.9,-6.1,-13.3,-11.5,-8.4,-6.8,-11.5,-11,-21.7,-14.7,-17.8,-36.3,-48.8,-71.1
2066,4238302,3233413,CCNC1=NC=C2C(=N1)N(C(=O)C(=N2)C3=CC=CS3)CCC4=CC=CC=C4,Active,4,,,decreasing,=,1e-05,-5,1,0.97,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-1.5,-82.7,81.2,,,0 0 0 0 0 0,,,,-8.6,,,,4,,-2.1,,-20.2,,-43.7,,-71
2067,4238489,3233599,C1=CC=C(C(=C1)C2=CN=CN=C2NCC3=CN=CC=C3)C(F)(F)F,Active,4,,,decreasing,=,2e-05,-4.7,1.46,0.96,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-7,-81.5,74.5,,,0 0 0 0 0 0 0,,,,3.8,,-11.9,,-9.5,,-7.9,,-12.4,,-28.6,,-71
2068,11114242,9604992,C1=CC(=CC(=C1)Cl)C=NC=NC2=CC(=CC=C2)Cl,Active,42,,,decreasing,=,6.31e-07,-6.2,0.9,0.93,qHTS Primary,qHTS ECL - Tocris,,Analysis Verified,Partial Modulator,"4pHill (AC50, hillSlope, S0, Sinf)",2.7,-62.2,64.9,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,-3.4,-2.7,2.6,-2.5,6.1,4.8,3,-16.2,-37.8,-37,-39.2,-50.5,-51.5,-55.2,-70.8
2069,4266715,3247371,C[C@H]([C@@H]1C[C@@]1(C)[C@H](C2=CC=CC=C2)NC(=O)C)C(=O)NC3=CC4=CC=CC=C4C=C3,Active,4,,,decreasing,=,1.26e-05,-4.9,1,1,qHTS Primary,qHTS ECL - UPCMLD,QC'd byUPCMLD,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-4.5,-83.9,79.5,,,0 0 0 0 0 0,,,,,,-3.5,,-5.2,,-9.1,,-17.4,,-40.2,,-70.8
2070,11113809,6603808,COC1=C(C(=CC=C1)OC)OCCNC[C@@H]2COC3=CC=CC=C3O2,Active,4,,,decreasing,=,2.51e-05,-4.6,0.7,0.82,qHTS Primary,qHTS ECL - Tocris,,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",1.6,-92.9,94.5,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,-5.2,-1.6,-7.1,9.9,0.9,11.2,-0.7,13.3,-12.7,-19.6,-17.3,-15.9,-31.1,-31.9,-70.8
2071,4239254,3234361,CC1=CC=CC=C1C2=NC=CC(=N2)NCC3=NC=C(N=C3)C,Active,4,,,decreasing,=,1.26e-05,-4.9,1,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",3.6,-86.7,90.3,,,0 0 0 0 0 0 0,,,,7,,4,,0.4,,-3.4,,-8.6,,-39.4,,-70.7
2072,11114159,5678496,C1=CC(=CC(=C1)F)/C=N\N=C/C2=CC(=CC=C2)F,Active,47,,,decreasing,=,2e-07,-6.7,1.34,0.99,qHTS Primary,qHTS ECL - Tocris,,Analysis Verified,Partial Modulator,"4pHill (AC50, hillSlope, S0, Sinf)",5.1,-70.2,75.2,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,6.9,1.6,6.6,0.5,0,2.3,-17,-30.1,-51.9,-61.3,-67.6,-71.3,-68.6,-69.5,-70.6
2073,4238261,3233372,C1=CC=C(C=C1)NC2=NC=C3C(=N2)N(C(=O)C=N3)CC4=CC=C(C=C4)F,Active,40,,,decreasing,=,1e-06,-6,1.56,1,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Modulator,"4pHill (AC50, hillSlope, S0, Sinf)",-1.4,-70.3,68.8,,,0 0 0 0 0 0,,,,-2.5,,,,-1.2,,-18.5,,-56.4,,-67.4,,-70.6
2074,4238838,3233946,CN(C)C1=NC=NC2=C1C=C(C=C2)C3=CC=C(C=C3)C(=O)N(C)C,Active,4,,,decreasing,=,2e-05,-4.7,1.63,0.98,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-9.1,-78,68.9,,,0 0 0 0 0 0 0,,,,-9.5,,-3.2,,-9.6,,-8.8,,-15.7,,-29.1,,-70.6
2075,11114134,3467590,C1=CC=C2C(=C1)N=C3N2C(=O)C4=CC=CC5=C(C=CC3=C54)C(=O)O,Active,4,,,decreasing,=,1.58e-05,-4.8,0.7,0.87,qHTS Primary,qHTS ECL - Tocris,,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",3.8,-80.5,84.3,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,-0.6,7.4,14.2,-2.9,8.2,-2.4,12.4,-5.2,-12.6,-14.5,-17.5,-15.8,-23.2,-44.1,-70.6
2076,11114257,135484659,CC1=C(N(N=C1C2=CC=C(C=C2)O)C3=CC=C(C=C3)O)C4=CC=C(C=C4)OCCN5CCCCC5,Active,4,,,decreasing,=,1.26e-05,-4.9,0.7,0.87,qHTS Primary,qHTS ECL - Tocris,,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",1.1,-79.5,80.6,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,-8,-2.8,-2.5,5.3,13.7,2,4.2,-1.1,-20.1,-14.6,-15,-25.5,-34,-37.9,-70.6
2077,4240117,3235223,CN1CCN(CC1)C2=NC=C3C(=N2)N(C(=O)C=N3)C4CC4,Active,4,,,decreasing,=,1.58e-05,-4.8,0.9,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-3.6,-88.1,84.6,,,0 0 0 0 0 0,,,,-6,,,,0.1,,-6.9,,-17.8,,-39.2,,-70.5
2078,4240416,3235521,COC1=CC(=C(C=C1)CNC2=NC=NC=C2C3=CC=CC=C3C(F)(F)F)OC,Active,4,,,decreasing,=,1.58e-05,-4.8,1.37,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-3.1,-81,77.9,,,0 0 0 0 0 0 0,,,,-0.5,,-7.8,,0.3,,-1,,-11.7,,-33,,-70.5
2079,4238008,3233121,CN(C)C(=O)C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=N2)NCCOC,Active,4,,,decreasing,=,2e-05,-4.7,1.63,0.96,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-4.7,-77.2,72.5,,,0 0 0 0 0 0 0,,,,-6.4,,2,,-0.7,,-7.9,,-13.4,,-25.2,,-70.4
2080,4239766,3234873,CN(C)C(=O)C1=CC=C(C=C1)C2=CC3=C(C=C2)N=CN=C3NC4=CC=CC=C4,Active,4,,,decreasing,=,1.58e-05,-4.8,1.1,0.98,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-4.1,-84.5,80.4,,,0 0 0 0 0 0 0,,,,0.6,,-3.8,,-5.5,,-9,,-15.8,,-32.7,,-70.4
2081,4266739,5771790,CCCC/C=C/C(C1=CC=CC=C1)NC(=O)C2=CC=C(C=C2)C(=O)OC,Active,4,,,decreasing,=,3.98e-06,-5.4,0.8,1,qHTS Primary,qHTS ECL - UPCMLD,QC'd byUPCMLD,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",6.5,-79.8,86.3,,,0 0 0 0 0 0,,,,,,6.8,,-0.5,,-4.7,,-27.6,,-54.3,,-70.3
2082,11113215,6540914,C[C@@]1(CCC[C@@]2([C@H]1CCC3=C2C=C(C=C3)OC)C)CO,Active,4,,,decreasing,=,1.58e-05,-4.8,1.54,0.9,qHTS Primary,qHTS ECL - Timtec,,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",4.1,-71.1,75.1,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,-2,-4.7,11.4,-0.3,1.4,11.9,0.8,18.5,0.8,11.9,-10.7,-4.3,-27,-42.8,-70.3
2083,4238897,3234005,CN1C2=NC(=NC=C2N=C(C1=O)C3=CC=CS3)N(C)C,Active,39,,,decreasing,=,1.26e-06,-5.9,1,0.99,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Modulator,"4pHill (AC50, hillSlope, S0, Sinf)",6,-71.9,77.9,,,0 0 0 0 0 0,,,,7.9,,,,-3.3,,-11.9,,-44.3,,-65.2,,-70.2
2084,4237802,3232915,CN(C)CC1=CC=CC=C1C2=CN=CN=C2NCC3=CC=CC=C3OC,Active,4,,,decreasing,=,1.26e-05,-4.9,0.7,0.97,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",2,-92.3,94.3,,,0 0 0 0 0 0 0,,,,9.9,,-5.2,,-3,,-8.7,,-20.6,,-39.4,,-70.2
2085,4238455,3233565,COCCN1C(=O)C=NC2=CN=C(N=C21)N3CCOCC3,Active,4,,,decreasing,=,1e-05,-5,1,0.98,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",5.1,-83.1,88.2,,,0 0 0 0 0 0,,,,-2.2,,,,8.7,,5.5,,-14.1,,-41.5,,-70.2
2086,4238015,3233128,CN(C)CC1=CC=CC=C1C2=CC(=NC=N2)NCCC3=CNC4=C3C=C(C=C4)OC,Active,4,,,decreasing,=,2e-05,-4.7,1.63,0.97,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-4.7,-77,72.3,,,0 0 0 0 0 0 0,,,,1.9,,-4.3,,-3.8,,-6.5,,-12.6,,-25.2,,-70.1
2087,4266684,3247340,COC(=O)[C@@H]1C[C@H]1[C@H](C2=CC=CC=C2)NC(=O)C3=CN=CC=C3,Active,4,,,decreasing,=,1.26e-05,-4.9,0.8,0.99,qHTS Primary,qHTS ECL - UPCMLD,QC'd byUPCMLD,Analysis Verified,Partial Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-2.2,-89.3,87.2,,,0 0 0 0 0 0,,,,,,1.8,,-8.5,,-8.7,,-19.7,,-43,,-70.1
2088,4238541,3233651,COC1=NC=C2C(=N1)N(C(=O)C(=N2)C3=CC=C(C=C3)Cl)CCC#N,Active,62,,,decreasing,=,6.31e-07,-6.2,1.66,0.98,qHTS Primary,qHTS ECL - Pharmacopeia,QC'd by Pharmacopeia,Analysis Verified,Full Curve,"4pHill (AC50, hillSlope, S0, Sinf)",-3,-78.3,75.3,,,0 0 0 0 0 0,,,,0.2,,,,-8.1,,-31.9,,-71,,-85.1,,-69.9
